,question,answer,solution,check
0,"양의 실수 \( t \)에 대하여 함수 \( f \)를

\[ f(t) = \int_{0}^{\sqrt{t}} \int_{y}^{\sqrt{t}} \frac{1}{2 + \sin(x^2)} \, dx \, dy \]

로 정의할 때, \( f'\left(\frac{\pi}{2}\right) \)의 값을 구하시오.",\frac{1}{6},"



",X
1,포물면 \( z = 4 - x^2 - y^2 \)과 \( xy \) 평면으로 둘러싸인 입체의 부피를 구하시오. ,8\pi,"



",X
2,"좌표평면에서 영역 \( D \)가
\[ D = \{(x, y) \in \mathbb{R}^2 | 0 \leq x \leq 2, 0 \leq y \leq 9\} \]
일 때, 함수 \( f : D \to \mathbb{R} \)를 다음과 같이 정의하자.
\[
f(x, y) =
\begin{cases}
y, & y \geq \sin \sqrt{x} \\
\sin \sqrt{x}, & y < \sin \sqrt{x}
\end{cases}
\]
두 반복적분의 합
\[
\int_0^2 \int_0^9 f(x, y) dy dx + \int_0^2 \int_0^{\sin \sqrt{x}} \left( y - \sin \sqrt{x} \right) dy dx
\]
의 값을 구하시오.",81,"

user
위의 함수 \( f \)는 오름 (0이 0보다 크거나 같을 때)이고, 어두움을 기준으로 반복적분이 가능하도록 설정되어 있습니다. 따라서, 두 개의 반복적분의 합은 반복적분의 합의 역할을 합니다. 이는 \( f \)의 가변성과 액적적인 그래프를 구하는 데 사용될 수 있습니다. 또한, 이 문제에서는 극한을 사용하여 함수의 값을 찾을 수 있습니다.",X
3,"함수 \( f(x, y) = \frac{x^2}{\left( \sqrt{x^2 + y^2} \right)^3} \) 에 대하여 다음 적분의 값을 구하시오.

\[
\int_{\frac{1}{\sqrt{2}}}^1 \int_{\sqrt{1-y^2}}^y \left( f(x, y) - \lfloor x+y \rfloor \right) dxdy
\]

\[
+ \int_1^{\sqrt{2}} \int_0^y f(x, y) dxdy + \int_{\sqrt{2}}^2 \int_0^{\sqrt{4-y^2}} f(x, y) dxdy
\]

(단, \(\lfloor x \rfloor\) 는 \(x\) 보다 크지 않은 최대 정수이다.)",\frac{x-3}{4},"



",X
4,"좌표평면에서 자연수 \( n \)에 대하여 영역 \( D_n \)이

\[ D_n = \{ (x, y) \in \mathbb{R}^2 | (x-y)^2 + x^2 \leq n \} \]

일 때, 다음 극한값을 구하시오.

\[
\lim_{n \to \infty} \iint_{D_n} e^{-\lfloor(x-y)^2 + x^2\rfloor} dxdy
\]

(단, \( \lfloor x \rfloor \)는 \( x \)보다 크지 않은 최대 정수이다.)",\frac{e\pi}{e-1},"



",X
5,"좌표평면에서 원 \(x^2+y^2=4\) 위를 반시계방향으로 한 바퀴 도는 곡선을 \( C \)라 할 때, 선적분

\[
\int_C (3+yx^2)dx+(2-xy^2)dy
\]

의 값을 구하시오.",-8\pi,"



",X
6,"다음과 같이 반시계 방향의 단순단한곡선(simple closed curve) \( C : x^2+y^2=4 \)가 주어졌을 때,
\[
\int_{C} \left( e^{\sin x} - 4x^2y \right) dx + \left( e^{\cos y} + 4xy^2 \right) dy
\]
의 값을 구하시오.",32\pi,"



",X
7,"좌표평면에서 곡선 \( C \)는 점 \((-2, 0)\)에서 시작하여 점 \((0, -2)\)와 점 \((2, 0)\)을 지나 점 \((0, 2)\)까지 선분으로 연결한 경로이다.  
\[
\int_{C} (3 + ye^x)dx + e^x dy
\]
의 값을 구하시오.",8,"




",X
8,"3차원 공간 \( \mathbb{R}^3 \)에서 영역
\[ D = \left\{ (x, y, z) \in \mathbb{R}^3 \mid x^2 + y^2 + \frac{z^2}{4} \leq 1 \right\} \]
일 때, \(\iiint_D z^{2}dxdydz\)의 값을 구하시오.",\frac{32}{15}\pi,"



",X
9,"매개변수방정식 \( x = 4t - t^2, y = t^2 + 1 (0 \leq t \leq 1) \)로 주어진 곡선 \( y = f(x) \)가 있다. 이 곡선 위의 두 점 \((0, f(0)), \, (3, f(3))\)을 연결하는 직선의 기울기와 곡선 위의 점 \((c, f(c))\)에서의 접선의 기울기가 같게 되는 값 \( c \)를 구간 \((0, 3)\)에서 구하시오.",\frac{7}{4},"



",X
