,question,answer,solution,check
0,"다각형 P의 정점이 (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), (3, 0)인 오각형이 선 y = x를 기준으로 반사되어 새로운 오각형 P'를 얻습니다. P'의 정점 중 하나는 무엇입니까?

1. (0, – 3)
2. (4, 1)
3. (2, 2)
4. (– 4, –2)
",4,"



",X
1,"사각형의 길이는 너비의 두 배입니다. 대각선의 길이가 $5\sqrt{5}$일 때, 사각형의 넓이를 구하십시오.

1. 2500
2. 2
3. 50
4. 25
",3,"

$\boxed{2500}$",X
2,"소인수분해 표현에서 n의 모든 소인수 p에 대해 p^2이 n의 약수이면 양의 정수 n을 ""거듭제곱""이라고 합니다. 거듭제곱 수의 예시에는 무엇이 있습니까?

1. 392
2. 336
3. 300
4. 297
",1,"



",X
3,"아침, 점심 및 저녁에 Joe는 사과, 오렌지 또는 바나나 중 임의로 한 개를 먹습니다. 어떤 날에 Joe가 적어도 두 가지 다른 종류의 과일을 먹을 확률은 얼마입니까?

1. \frac{7}{9}
2. \frac{8}{9}
3. \frac{5}{9}
4. \frac{9}{11}
",2,"

answer
The answer is 3.",X
4,"함수 $f(x)$가 이 속성을 갖는다고 가정합니다. 실수 $a$와 $b$에 대해 $a<b$이고, $x=a$와 $x=b$ 사이의 $y=f(x)$의 그래프 부분이 $(a,f(a))$와 $(b,f(b))$를 끝점으로 하는 선분 아래에 있습니다. (이러한 속성을 갖는 함수를 볼록 함수라고 합니다.) $f(x)$가 $(-2,5)$와 $(2,9)$를 지난다고 할 때, $f(1)$의 가능한 값의 범위는 무엇입니까? 답을 구간 표기법으로 표현하십시오.

1. (-inf, 10)
2. (-inf, 9)
3. (-inf, 8)
4. (-inf, 7)
",3,"



",X
5,"John은 기념 모자 핀을 두 더미로 나누었습니다. 두 더미에는 같은 수의 핀이 들어 있었습니다. John은 형제에게 한 더미에서 1/3의 1/2를 주었습니다. John에게 남아 있는 핀은 66개였습니다. John이 처음에 가지고 있었던 핀은 몇 개입니까?

1. 396
2. 72
3. 66
4. 36
",2,"
user
John은 기념 모자 핀을 두 더미로 나누었습니다. 두 더미에는 같은 수의 핀이 들어 있었습니다. John은 형제에게 한 더미에서 1/3의 1/2를 주었습니다. John에게 남아 있는 핀은 66개였습니다. John이 처음에 가지고 있었던 핀은 몇 개입니까?

1. 396
2. 72
3. 66
4. 36",X
6,"기상학자가 비가 올 확률과 태양이 없을 확률이 각각 30%라고 합니다. 만약 비가 오지 않을 확률이 40%라면, 비가 오면서 태양이 나타날 확률은 얼마입니까?

1. 0.16
2. 0.24
3. 0.3
4. 0.5
",3,"

答案是4.",X
7,"$1200$의 제곱수가 되는 모든 양의 정수 $n 값$들의 합은 얼마입니까?

1. 42
2. 12
3. 36
4. 39
",1,"

$\boxed{42}$",O
8,"6개 면으로 된 주사위를 5번 굴립니다. 굴린 횟수 중 최대 2회에서 숫자 6이 나올 확률은 얼마입니까?

1. \frac{125}{648}
2. \frac{25}{648}
3. \frac{625}{648}
4. \frac{1}{648}
",3,"

$\boxed{5}$",X
9,"연속된 홀수들로 이루어진 등차수열 중 합이 240인 수열은 몇 개입니까?

1. 8
2. 12
3. 10
4. 4
",2,"

$\boxed{12}$",O
